pid,name,birthdate,college,height,weight,current_team
85,Alec Burks,20-Jul-91,University of Colorado,81,239,Utah Jazz
86,Jimmy Butler,14-Sep-89,Marquette University,74,190,Minnesota Timberwolves
87,Bruno Caboclo,21-Sep-95,,85,240,Sacramento Kings
88,Jose Calderon,28-Sep-81,,80,225,Cleveland Cavaliers
89,Kentavious Caldwell-Pope,18-Feb-93,University of Georgia,82,233,Los Angeles Lakers
90,Isaiah Canaan,21-May-91,Murray State University,75,175,Phoenix Suns
91,Clint Capela,18-May-94,,77,194,Houston Rockets
92,DeMarre Carroll,27-Jul-86,University of Missouri,76,185,Brooklyn Nets
93,Vince Carter,26-Jan-77,University of North Carolina,78,195,Sacramento Kings
94,Michael Carter-Williams,10-Oct-91,Syracuse University,82,235,Charlotte Hornets
95,Alex Caruso,28-Feb-94,Texas A&M University,84,232,Los Angeles Lakers
96,Omri Casspi,22-Jun-88,,78,210,Golden State Warriors
97,Willie Cauley-Stein,18-Aug-93,University of Kentucky,72,175,Sacramento Kings
98,Tyler Cavanaugh,9-Feb-94,George Washington University,82,255,Atlanta Hawks
99,Mario Chalmers,19-May-86,University of Kansas,73,175,Memphis Grizzlies
100,Tyson Chandler,2-Oct-82,,77,206,Phoenix Suns
101,Wilson Chandler,10-May-87,DePaul University,74,184,Denver Nuggets
102,Marquese Chriss,2-Jul-97,University of Washington,77,196,Phoenix Suns
103,Rakeem Christmas,1-Dec-91,Syracuse University,81,260,
104,Semaj Christon,1-Nov-92,Xavier University,81,245,
105,Ian Clark,7-Mar-91,Belmont University,83,270,New Orleans Pelicans
106,Jordan Clarkson,7-Jun-92,University of Missouri,81,215,Cleveland Cavaliers
107,Gian Clavell,26-Nov-93,Colorado State University,78,210,Dallas Mavericks
108,Antonius Cleveland,2-Feb-94,Southeast Missouri State University,78,215,Atlanta Hawks
109,Norris Cole,13-Oct-88,Cleveland State University,77,200,
110,John Collins,23-Sep-97,Wake Forest University,76,195,Atlanta Hawks
111,Zach Collins,19-Nov-97,Gonzaga University,78,235,Portland Trail Blazers
