gid,date_time_start,stadium,is_playoff,home_team,away_team,home_points,away_points
43033OKC,10/25/17 08:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Indiana Pacers,114,96
43033DAL,10/25/17 08:30,American Airlines Center,FALSE,Dallas Mavericks,Memphis Grizzlies,103,94
43033PHO,10/25/17 10:00,US Airways Center,FALSE,Phoenix Suns,Utah Jazz,97,88
43033GS,10/25/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Toronto Raptors,117,112
43033LAL,10/25/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Washington Wizards,102,99
43034CHI,10/26/17 08:00,United Center,FALSE,Chicago Bulls,Atlanta Hawks,91,86
43034MEM,10/26/17 08:00,FedExForum,FALSE,Memphis Grizzlies,Dallas Mavericks,96,91
43034MIL,10/26/17 08:00,Bradley Center,FALSE,Milwaukee Bucks,Boston Celtics,89,96
43034POR,10/26/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Los Angeles Clippers,103,104
43034SAC,10/26/17 10:30,Power Balance Pavilion,FALSE,Sacramento Kings,New Orleans Pelicans,106,114
43035CHA,10/27/17 07:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Houston Rockets,93,109
43035ORL,10/27/17 07:00,Amway Center,FALSE,Orlando Magic,San Antonio Spurs,114,87
43035ATL,10/27/17 07:30,Philips Arena,FALSE,Atlanta Hawks,Denver Nuggets,100,105
43035NY,10/27/17 07:30,Madison Square Garden,FALSE,New York Knicks,Brooklyn Nets,107,86
43035MIN,10/27/17 08:00,Target Center,FALSE,Minnesota Timberwolves,Oklahoma City Thunder,119,116
43035GS,10/27/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Washington Wizards,120,117
43035LAL,10/27/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Toronto Raptors,92,101
43036NO,10/28/17 07:00,New Orleans Arena,FALSE,New Orleans Pelicans,Cleveland Cavaliers,123,101
43036CHI,10/28/17 08:00,United Center,FALSE,Chicago Bulls,Oklahoma City Thunder,69,101
43036MEM,10/28/17 08:00,FedExForum,FALSE,Memphis Grizzlies,Houston Rockets,103,89
43036MIA,10/28/17 08:00,AmericanAirlines Arena,FALSE,Miami Heat,Boston Celtics,90,96
43036DAL,10/28/17 08:30,American Airlines Center,FALSE,Dallas Mavericks,Philadelphia 76ers,110,112
43036UTA,10/28/17 09:00,EnergySolutions Arena,FALSE,Utah Jazz,Los Angeles Lakers,96,81
43036POR,10/28/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Phoenix Suns,114,107
43036LAC,10/28/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Detroit Pistons,87,95
43037ATL,10/29/17 03:30,Philips Arena,FALSE,Atlanta Hawks,Milwaukee Bucks,106,117
43037IND,10/29/17 04:30,Bankers Life Fieldhouse,FALSE,Indiana Pacers,San Antonio Spurs,97,94
43037BKN,10/29/17 06:00,Barclays Center,FALSE,Brooklyn Nets,Denver Nuggets,111,124
43037CHA,10/29/17 06:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Orlando Magic,120,113
43037SAC,10/29/17 06:00,Power Balance Pavilion,FALSE,Sacramento Kings,Washington Wizards,83,110
43037CLE,10/29/17 07:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,New York Knicks,95,114
43037GS,10/29/17 08:30,Oracle Arena,FALSE,Golden State Warriors,Detroit Pistons,107,115
43038BOS,10/30/17 07:30,TD Garden,FALSE,Boston Celtics,San Antonio Spurs,108,94
43038MIA,10/30/17 07:30,AmericanAirlines Arena,FALSE,Miami Heat,Minnesota Timberwolves,122,125
43038NY,10/30/17 07:30,Madison Square Garden,FALSE,New York Knicks,Denver Nuggets,116,110
43038HOU,10/30/17 08:00,Toyota Center,FALSE,Houston Rockets,Philadelphia 76ers,107,115
43038MEM,10/30/17 08:00,FedExForum,FALSE,Memphis Grizzlies,Charlotte Hornets,99,104
43038NO,10/30/17 08:00,New Orleans Arena,FALSE,New Orleans Pelicans,Orlando Magic,99,115
43038UTA,10/30/17 09:00,EnergySolutions Arena,FALSE,Utah Jazz,Dallas Mavericks,104,89
43038POR,10/30/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Toronto Raptors,85,99
43038LAC,10/30/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Golden State Warriors,113,141
43039IND,10/31/17 07:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Sacramento Kings,101,83
43039BKN,10/31/17 07:30,Barclays Center,FALSE,Brooklyn Nets,Phoenix Suns,114,122
43039MIL,10/31/17 08:00,Bradley Center,FALSE,Milwaukee Bucks,Oklahoma City Thunder,91,110
43039LAL,10/31/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Detroit Pistons,113,93
43040CHA,11/01/17 07:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Milwaukee Bucks,126,121
43040CLE,11/01/17 07:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Indiana Pacers,107,124
43040PHI,11/01/17 07:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Atlanta Hawks,119,109
