gid,teamAbbr,playDispNm,minutes,points,assists,turnovers,steals,blocks,fouls,fga,fgm,threepa,threepm,fta,ftm,rebounds
43025CLE,BOS,Jaylen Brown,40,25,0,3,3,0,5,23,11,9,2,2,1,6
43025CLE,BOS,Kyrie Irving,39,22,10,2,3,0,4,17,8,9,4,2,2,4
43025CLE,BOS,Jayson Tatum,37,14,3,1,0,0,4,12,5,2,1,3,3,10
43025CLE,BOS,Al Horford,32,9,5,0,0,1,2,7,2,2,0,7,5,7
43025CLE,BOS,Gordon Hayward,5,2,0,0,0,0,1,2,1,1,0,0,0,1
43025CLE,BOS,Marcus Smart,35,12,3,2,2,2,2,16,5,4,0,3,2,9
43025CLE,BOS,Terry Rozier,20,9,2,0,3,0,0,6,2,3,1,4,4,3
43025CLE,BOS,Aron Baynes,19,6,1,2,0,1,5,2,2,0,0,4,2,5
43025CLE,BOS,Semi Ojeleye,9,0,0,0,0,0,1,2,0,1,0,0,0,0
43025CLE,BOS,Shane Larkin,5,0,0,0,0,0,0,1,0,1,0,0,0,1
43025CLE,CLE,LeBron James,41,29,9,4,0,2,3,19,12,5,1,4,4,16
43025CLE,CLE,Jae Crowder,35,11,2,1,2,0,2,10,3,5,1,4,4,5
43025CLE,CLE,Derrick Rose,31,14,2,2,0,0,2,14,5,3,1,4,3,4
43025CLE,CLE,Dwyane Wade,29,8,3,4,0,2,1,10,3,1,0,2,2,2
43025CLE,CLE,Kevin Love,28,15,0,2,0,0,2,9,4,4,1,7,6,11
43025CLE,CLE,J.R. Smith,22,10,1,0,0,0,4,7,4,3,1,1,1,4
43025CLE,CLE,Tristan Thompson,20,5,2,2,0,0,3,3,2,0,0,3,1,6
43025CLE,CLE,Jeff Green,14,6,0,1,0,0,3,8,3,1,0,0,0,0
43025CLE,CLE,Iman Shumpert,13,4,0,1,1,0,3,3,2,0,0,0,0,2
43025CLE,CLE,Kyle Korver,7,0,0,0,0,0,2,0,0,0,0,0,0,0
43025GS,HOU,Trevor Ariza,38,8,5,1,2,0,2,9,3,5,2,0,0,6
43025GS,HOU,James Harden,36,27,10,3,1,0,2,23,10,9,4,4,3,6
43025GS,HOU,Ryan Anderson,33,13,1,0,1,1,3,12,5,8,3,0,0,8
43025GS,HOU,Chris Paul,33,4,11,1,2,1,4,9,2,4,0,0,0,8
43025GS,HOU,Clint Capela,18,12,0,2,1,1,0,10,6,0,0,1,0,4
43025GS,HOU,Eric Gordon,29,24,1,2,1,2,1,16,9,6,0,8,6,1
43025GS,HOU,P.J. Tucker,29,20,0,1,1,0,3,9,6,6,4,6,4,6
43025GS,HOU,Luc Richard Mbah a Moute,23,14,0,2,0,0,1,9,6,3,2,0,0,4
43025GS,GS,Klay Thompson,38,16,3,1,2,2,0,14,6,7,4,0,0,6
43025GS,GS,Kevin Durant,38,20,7,8,0,4,4,15,7,5,2,5,4,5
43025GS,GS,Stephen Curry,30,22,4,2,1,0,4,18,8,9,3,3,3,5
43025GS,GS,Draymond Green,28,9,13,2,0,0,3,6,2,2,1,4,4,11
43025GS,GS,Zaza Pachulia,10,6,0,0,0,1,1,2,2,0,0,2,2,3
43025GS,GS,Nick Young,26,23,0,1,0,0,4,9,8,7,6,1,1,2
43025GS,GS,Patrick McCaw,19,4,1,0,1,1,1,3,2,0,0,0,0,3
43025GS,GS,Shaun Livingston,19,6,5,1,0,0,2,5,2,0,0,2,2,1
43025GS,GS,Jordan Bell,12,8,1,1,0,0,4,5,4,0,0,0,0,1
43025GS,GS,David West,9,4,0,1,0,1,0,3,2,0,0,0,0,1
43025GS,GS,Kevon Looney,8,1,0,0,1,0,2,0,0,0,0,2,1,2
43025GS,GS,Omri Casspi,4,2,0,0,0,0,0,0,0,0,0,2,2,1
43026DET,CHA,Kemba Walker,35,24,4,4,0,0,1,13,6,3,1,13,11,6
43026DET,CHA,Dwight Howard,31,10,1,3,1,2,2,9,5,0,0,2,0,15
43026DET,CHA,Jeremy Lamb,28,15,2,2,1,0,2,10,4,3,0,8,7,4
43026DET,CHA,Marvin Williams,27,7,0,0,0,0,2,5,2,4,2,2,1,2
43026DET,CHA,Dwayne Bacon,20,8,2,2,0,0,1,6,3,4,2,0,0,2
43026DET,CHA,Cody Zeller,23,8,0,2,0,1,2,5,3,0,0,2,2,9
43026DET,CHA,Frank Kaminsky,23,4,2,0,0,0,0,9,1,5,0,2,2,4
43026DET,CHA,Malik Monk,21,3,1,3,0,0,1,9,1,6,1,0,0,0
43026DET,CHA,Treveon Graham,17,5,3,0,0,0,1,4,2,2,1,0,0,2
43026DET,CHA,Julyan Stone,13,6,1,1,2,0,3,3,2,3,2,0,0,3
43026DET,DET,Stanley Johnson,40,2,1,0,4,0,1,13,0,6,0,2,2,4
43026DET,DET,Tobias Harris,34,27,3,1,0,0,3,18,11,7,4,1,1,10
43026DET,DET,Reggie Jackson,27,13,8,0,1,0,2,10,5,1,0,3,3,5
43026DET,DET,Avery Bradley,23,15,1,2,0,0,4,10,7,0,0,1,1,2
43026DET,DET,Andre Drummond,22,8,4,0,1,2,3,9,3,0,0,2,2,13
43026DET,DET,Langston Galloway,25,16,0,1,3,0,0,11,6,6,3,1,1,4
43026DET,DET,Ishmael Smith,21,4,6,3,1,0,4,9,2,1,0,0,0,1
43026DET,DET,Jon Leuer,19,4,0,1,0,1,0,6,2,1,0,1,0,3
43026DET,DET,Henry Ellenson,16,13,1,0,1,0,2,10,5,4,2,1,1,4
43026DET,DET,Eric Moreland,12,0,0,0,3,0,2,0,0,0,0,0,0,1
43026IND,BKN,D'Angelo Russell,30,30,5,2,1,0,4,22,12,8,4,2,2,3
43026IND,BKN,DeMarre Carroll,28,10,2,2,1,0,2,12,4,5,1,2,1,9
43026IND,BKN,Rondae Hollis-Jefferson,28,14,2,1,1,0,3,4,3,0,0,8,8,4
43026IND,BKN,Jeremy Lin,25,18,4,3,0,0,3,12,5,2,1,7,7,0
43026IND,BKN,Timofey Mozgov,14,4,0,2,0,0,1,4,2,1,0,0,0,3
43026IND,BKN,Trevor Booker,28,20,0,2,0,0,2,10,7,1,0,7,6,10
43026IND,BKN,Caris LeVert,28,12,4,1,2,1,3,15,5,4,1,1,1,2
43026IND,BKN,Allen Crabbe,27,12,1,2,2,1,2,5,3,3,2,5,4,7
43026IND,BKN,Spencer Dinwiddie,17,2,4,2,0,0,2,5,1,1,0,0,0,3
43026IND,BKN,Quincy Acy,16,9,0,3,0,0,3,5,3,5,3,0,0,2
43026IND,IND,Myles Turner,34,21,2,1,0,4,3,13,8,3,1,4,4,14
43026IND,IND,Thaddeus Young,33,17,3,2,2,2,3,16,7,5,1,2,2,11
43026IND,IND,Darren Collison,30,21,11,2,2,0,1,12,9,3,1,3,2,3
43026IND,IND,Bojan Bogdanovi€à,29,14,0,3,0,0,2,9,5,3,1,3,3,0
43026IND,IND,Victor Oladipo,25,22,4,3,4,0,5,12,6,6,2,10,8,5
43026IND,IND,Cory Joseph,25,11,4,1,2,1,1,10,4,2,1,2,2,3
43026IND,IND,Lance Stephenson,24,16,3,1,1,1,3,19,6,9,2,5,2,1
43026IND,IND,Domantas Sabonis,19,16,1,1,0,0,3,7,7,0,0,3,2,7
43026IND,IND,Damien Wilkins,11,2,0,0,1,0,1,3,1,2,0,0,0,1
43026IND,IND,T.J. Leaf,10,0,1,0,0,1,3,1,0,1,0,0,0,2
43026ORL,MIA,Dion Waiters,38,15,4,3,2,1,1,17,7,6,1,0,0,0
43026ORL,MIA,Hassan Whiteside,36,26,1,1,0,1,1,18,11,1,1,3,3,22
43026ORL,MIA,Josh Richardson,35,10,2,2,0,1,3,9,4,7,2,0,0,2
43026ORL,MIA,Goran Dragi€à,31,17,6,0,1,0,0,19,6,4,1,4,4,5
43026ORL,MIA,Kelly Olynyk,21,10,3,0,0,0,4,7,3,2,1,3,3,5
43026ORL,MIA,Justise Winslow,23,10,2,1,1,0,2,8,4,1,1,2,1,4
43026ORL,MIA,Tyler Johnson,21,7,1,1,0,0,2,9,3,3,1,0,0,2
43026ORL,MIA,James Johnson,19,11,8,4,1,1,5,9,5,2,0,4,1,4
43026ORL,MIA,Wayne Ellington,10,3,0,1,1,0,0,5,1,4,0,1,1,0
43026ORL,MIA,Bam Adebayo,6,0,0,0,0,0,2,1,0,0,0,0,0,0
43026ORL,ORL,Evan Fournier,34,23,3,1,1,0,0,17,9,5,3,2,2,1
43026ORL,ORL,Aaron Gordon,34,14,3,1,0,2,4,13,4,2,1,6,5,9
43026ORL,ORL,Nikola Vu€çevi€à,32,19,1,1,2,2,1,12,6,3,0,8,7,13
43026ORL,ORL,Elfrid Payton,32,13,9,4,3,1,2,12,6,1,1,2,0,3
43026ORL,ORL,Terrence Ross,31,15,4,1,2,1,0,11,5,7,3,2,2,6
43026ORL,ORL,Jonathon Simmons,28,12,0,1,0,0,4,10,5,1,0,2,2,2
43026ORL,ORL,Jonathan Isaac,17,4,0,0,0,2,3,3,2,1,0,0,0,8
43026ORL,ORL,D.J. Augustin,16,7,2,2,0,0,1,4,2,1,0,5,3,4
43026ORL,ORL,Bismack Biyombo,16,9,0,3,0,2,3,8,4,0,0,2,1,5
43026WAS,PHI,Ben Simmons,35,18,5,1,2,1,3,15,7,0,0,6,4,10
43026WAS,PHI,J.J. Redick,32,12,4,2,1,0,4,10,4,8,4,0,0,2
43026WAS,PHI,Robert Covington,29,29,1,5,1,2,4,15,9,11,7,4,4,7
43026WAS,PHI,Jerryd Bayless,28,13,3,2,1,0,4,10,5,7,3,0,0,3
43026WAS,PHI,Joel Embiid,27,18,3,4,0,1,2,15,7,4,0,4,4,13
43026WAS,PHI,Dario Saric,23,3,2,0,0,1,3,5,1,2,0,1,1,3
43026WAS,PHI,TimothÌ© Luwawu-Cabarrot,18,5,2,0,1,0,2,6,2,3,1,0,0,2
43026WAS,PHI,Markelle Fultz,18,10,1,0,0,1,0,9,5,0,0,2,0,3
43026WAS,PHI,T.J. McConnell,15,2,3,2,0,0,0,2,1,0,0,0,0,0
43026WAS,PHI,Amir Johnson,15,5,1,1,0,0,6,7,2,0,0,2,1,5
43026WAS,WAS,John Wall,37,28,8,2,0,2,2,28,10,3,0,9,8,5
43026WAS,WAS,Bradley Beal,36,25,4,2,3,1,2,17,6,4,1,16,12,6
43026WAS,WAS,Marcin Gortat,34,16,1,1,0,3,3,12,7,0,0,3,2,17
43026WAS,WAS,Otto Porter,33,10,0,0,3,1,3,11,5,3,0,0,0,8
43026WAS,WAS,Jason Smith,7,0,0,0,0,0,1,1,0,1,0,0,0,1
43026WAS,WAS,Kelly Oubre Jr.,32,14,2,0,2,2,2,10,5,6,3,3,1,8
43026WAS,WAS,Jodie Meeks,19,14,0,0,0,0,0,8,3,2,1,7,7,1
43026WAS,WAS,Mike Scott,15,7,0,1,0,0,0,6,3,3,1,0,0,2
43026WAS,WAS,Ian Mahinmi,14,6,1,1,0,1,4,3,3,0,0,0,0,4
43026WAS,WAS,Tim Frazier,13,0,5,2,0,0,3,1,0,0,0,0,0,0
43026BOS,MIL,Khris Middleton,43,15,6,5,2,0,4,17,6,5,1,2,2,9
43026BOS,MIL,Malcolm Brogdon,41,19,4,2,0,0,2,10,6,5,3,4,4,1
43026BOS,MIL,Giannis Antetokounmpo,37,37,3,5,3,0,4,22,13,1,0,13,11,13
43026BOS,MIL,Tony Snell,29,5,1,0,0,0,4,4,2,3,1,0,0,4
43026BOS,MIL,Thon Maker,14,2,0,1,1,0,1,4,1,1,0,0,0,3
43026BOS,MIL,Matthew Dellavedova,26,15,1,1,0,0,2,10,4,4,2,5,5,1
43026BOS,MIL,John Henson,17,5,2,1,0,4,2,2,2,0,0,2,1,6
43026BOS,MIL,Greg Monroe,17,10,1,0,0,0,3,5,4,0,0,4,2,6
43026BOS,MIL,Mirza Teletovi€à,11,0,1,0,0,0,0,2,0,2,0,0,0,2
43026BOS,MIL,Rashad Vaughn,3,0,0,0,0,0,0,0,0,0,0,0,0,0
43026BOS,BOS,Kyrie Irving,39,17,3,3,3,0,1,25,7,7,2,2,1,4
43026BOS,BOS,Jayson Tatum,37,8,2,2,1,0,3,7,3,1,0,5,2,9
43026BOS,BOS,Al Horford,33,13,4,2,3,2,3,11,6,2,0,1,1,6
43026BOS,BOS,Marcus Smart,32,12,4,3,3,0,4,13,4,7,3,6,1,7
43026BOS,BOS,Jaylen Brown,28,18,3,0,0,0,6,11,6,3,2,5,4,5
43026BOS,BOS,Terry Rozier,27,15,6,0,2,0,4,12,6,5,3,0,0,7
43026BOS,BOS,Aron Baynes,16,4,0,0,0,0,4,3,2,0,0,0,0,2
43026BOS,BOS,Semi Ojeleye,12,3,0,1,0,0,0,2,1,2,1,0,0,1
43026BOS,BOS,Abdel Nader,11,4,1,0,0,0,1,4,2,1,0,0,0,0
43026BOS,BOS,Daniel Theis,5,6,0,1,0,0,1,3,2,0,0,2,2,2
43026MEM,NO,Anthony Davis,40,33,0,5,0,1,5,23,9,2,1,17,14,18
43026MEM,NO,Jrue Holiday,39,4,4,3,1,0,5,11,2,3,0,0,0,6
43026MEM,NO,DeMarcus Cousins,38,28,2,4,0,7,4,21,9,9,3,8,7,10
43026MEM,NO,E'Twaun Moore,34,11,4,2,1,0,3,11,5,2,0,1,1,2
43026MEM,NO,Dante Cunningham,26,7,0,0,1,1,1,4,2,3,1,3,2,9
43026MEM,NO,Ian Clark,21,3,2,1,1,0,3,3,1,3,1,0,0,3
43026MEM,NO,Darius Miller,17,0,0,0,0,1,4,1,0,1,0,0,0,0
43026MEM,NO,Jordan Crawford,13,5,3,2,0,0,4,4,2,2,1,0,0,1
43026MEM,NO,Tony Allen,11,0,0,1,0,2,2,1,0,0,0,0,0,2
43026MEM,NO,Cheick Diallo,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43026MEM,MEM,Mike Conley,33,27,3,1,2,0,3,15,9,9,4,7,5,5
43026MEM,MEM,Marc Gasol,29,14,4,2,0,3,6,18,6,5,2,0,0,11
43026MEM,MEM,James Ennis,19,5,2,0,0,0,0,2,2,1,1,0,0,1
43026MEM,MEM,Andrew Harrison,19,2,1,1,0,1,2,6,1,0,0,0,0,2
43026MEM,MEM,JaMychal Green,4,2,1,0,0,0,1,2,1,0,0,0,0,1
43026MEM,MEM,Dillon Brooks,29,19,2,2,4,2,2,13,7,2,0,7,5,5
43026MEM,MEM,Brandan Wright,27,10,0,0,2,1,2,7,5,0,0,2,0,4
43026MEM,MEM,Mario Chalmers,26,5,4,0,0,0,3,9,1,4,0,5,3,2
43026MEM,MEM,Tyreke Evans,20,11,2,1,0,0,3,12,4,4,1,2,2,5
43026MEM,MEM,Jarell Martin,19,2,0,4,0,1,5,6,1,3,0,0,0,5
43026MEM,MEM,Chandler Parsons,15,6,0,0,1,0,2,2,2,1,1,5,1,4
43026DAL,ATL,Dennis SchrÌ_der,34,28,7,2,2,0,1,26,13,3,1,2,1,2
43026DAL,ATL,Kent Bazemore,27,7,3,1,1,0,2,7,3,1,1,0,0,4
43026DAL,ATL,Taurean Prince,26,10,1,1,0,1,2,10,4,0,0,2,2,10
43026DAL,ATL,Dewayne Dedmon,26,9,1,4,0,3,2,6,3,0,0,4,3,7
43026DAL,ATL,Ersan Ilyasova,24,6,0,0,1,1,5,4,2,1,0,2,2,6
43026DAL,ATL,Marco Belinelli,26,20,3,1,3,0,0,14,7,6,4,2,2,3
43026DAL,ATL,John Collins,22,14,1,1,2,0,1,10,6,0,0,3,2,5
43026DAL,ATL,DeAndre‰Ûª Bembry,18,6,1,2,2,1,0,6,3,1,0,0,0,6
43026DAL,ATL,Mike Muscala,14,4,2,0,0,0,2,3,2,1,0,0,0,4
43026DAL,ATL,Malcolm Delaney,11,5,0,1,0,0,1,4,2,2,1,0,0,1
43026DAL,ATL,Luke Babbitt,9,5,0,0,0,0,0,3,2,2,1,0,0,1
43026DAL,ATL,Josh Magette,4,3,1,0,0,0,2,1,1,1,1,0,0,1
43026DAL,DAL,Harrison Barnes,38,14,3,2,1,0,0,13,3,6,0,9,8,7
43026DAL,DAL,Wesley Matthews,37,15,5,5,1,0,4,12,5,9,5,0,0,8
43026DAL,DAL,Yogi Ferrell,32,9,2,0,1,0,2,7,3,4,3,0,0,0
43026DAL,DAL,Dennis Smith,30,16,10,3,0,0,2,12,6,4,1,4,3,3
43026DAL,DAL,Dirk Nowitzki,24,10,0,0,0,0,3,14,4,7,2,1,0,6
43026DAL,DAL,Nerlens Noel,20,16,0,0,1,3,2,6,6,0,0,4,4,11
43026DAL,DAL,Jose Barea,18,13,5,0,0,0,1,7,4,5,3,2,2,3
43026DAL,DAL,Devin Harris,16,10,2,2,0,0,1,9,4,5,1,1,1,0
43026DAL,DAL,Dwight Powell,14,6,0,1,1,1,2,3,2,3,2,0,0,0
43026DAL,DAL,Dorian Finney-Smith,11,2,0,2,0,0,2,3,1,2,0,0,0,3
43026UTA,DEN,Nikola Joki€à,36,7,8,4,0,0,1,10,3,4,1,0,0,12
43026UTA,DEN,Gary Harris,36,14,3,1,1,0,2,7,5,3,3,1,1,5
43026UTA,DEN,Paul Millsap,34,19,1,5,0,0,3,15,7,5,1,5,4,6
43026UTA,DEN,Wilson Chandler,34,9,1,1,2,1,2,11,4,4,1,0,0,2
43026UTA,DEN,Jamal Murray,20,8,2,3,0,0,2,6,2,5,2,2,2,2
43026UTA,DEN,Will Barton,31,23,2,3,1,1,2,14,8,4,3,4,4,6
43026UTA,DEN,Emmanuel Mudiay,19,8,2,0,0,0,1,8,3,2,2,0,0,1
43026UTA,DEN,Mason Plumlee,16,6,1,2,0,1,5,5,3,0,0,0,0,2
43026UTA,DEN,Juan HernangÌ_mez,6,0,0,0,0,0,0,0,0,0,0,0,0,0
43026UTA,DEN,Kenneth Faried,6,2,0,1,0,0,0,1,1,0,0,0,0,1
43026UTA,DEN,Trey Lyles,2,0,0,0,0,0,0,0,0,0,0,0,0,0
43026UTA,DEN,Malik Beasley,2,0,1,1,0,0,0,0,0,0,0,0,0,1
43026UTA,UTA,Rudy Gobert,35,18,1,6,0,1,4,9,7,0,0,4,4,10
43026UTA,UTA,Joe Ingles,33,11,6,0,2,0,3,6,4,5,3,0,0,5
43026UTA,UTA,Ricky Rubio,32,9,10,3,2,0,1,9,3,5,1,3,2,5
43026UTA,UTA,Derrick Favors,28,14,4,1,1,0,4,14,7,1,0,0,0,4
43026UTA,UTA,Donovan Mitchell,26,10,4,3,0,1,1,11,3,2,0,4,4,1
43026UTA,UTA,Thabo Sefolosha,21,7,2,0,2,0,0,7,3,2,0,1,1,2
43026UTA,UTA,Joe Johnson,20,13,1,1,1,0,3,10,5,4,1,2,2,4
43026UTA,UTA,Rodney Hood,18,6,0,0,0,0,1,4,2,3,2,0,0,2
43026UTA,UTA,Alec Burks,15,16,0,0,1,0,1,10,7,2,2,0,0,1
43026UTA,UTA,Ekpe Udoh,13,2,0,1,0,3,0,1,0,0,0,2,2,2
43026SA,MIN,Jimmy Butler,35,12,3,3,1,0,3,12,5,3,2,0,0,4
43026SA,MIN,Karl-Anthony Towns,35,18,1,2,2,1,4,15,8,1,0,2,2,13
43026SA,MIN,Andrew Wiggins,30,26,1,1,0,0,0,14,9,6,4,9,4,5
43026SA,MIN,Taj Gibson,27,6,3,2,1,0,3,11,3,2,0,0,0,4
43026SA,MIN,Jeff Teague,25,11,6,1,1,1,1,6,3,2,1,5,4,2
43026SA,MIN,Jamal Crawford,24,10,5,2,0,1,1,5,3,1,0,4,4,3
43026SA,MIN,Tyus Jones,23,3,1,0,1,0,1,3,1,0,0,1,1,2
43026SA,MIN,Shabazz Muhammad,14,2,0,0,0,1,2,6,1,1,0,0,0,2
43026SA,MIN,Gorgui Dieng,14,2,2,2,1,0,1,5,1,1,0,0,0,4
43026SA,MIN,Nemanja Bjelica,13,9,1,0,0,0,0,8,3,2,1,2,2,3
43026SA,SA,LaMarcus Aldridge,39,25,4,3,0,2,2,21,9,2,1,7,6,10
43026SA,SA,Danny Green,33,17,2,2,2,2,2,16,7,7,3,0,0,4
43026SA,SA,Kyle Anderson,30,12,1,0,0,1,1,9,5,1,1,2,1,9
43026SA,SA,Pau Gasol,29,7,4,1,0,3,1,8,3,3,1,0,0,7
43026SA,SA,Dejounte Murray,25,16,2,2,2,1,4,8,7,0,0,2,2,5
43026SA,SA,Rudy Gay,24,14,2,0,1,0,3,9,5,1,0,4,4,5
43026SA,SA,Patrick Mills,22,3,2,1,2,1,3,4,1,2,1,0,0,2
43026SA,SA,Manu GinÌ_bili,21,9,4,1,1,1,2,7,2,4,1,4,4,3
43026SA,SA,Joffrey Lauvergne,13,4,1,1,0,0,0,6,2,0,0,0,0,3
43026SA,SA,D€Åvis Bert€Åns,4,0,0,0,0,0,0,1,0,1,0,0,0,2
43026SA,SA,Derrick White,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43026SA,SA,Brandon Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43026SA,SA,Bryn Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43026PHO,POR,Damian Lillard,30,27,5,0,1,3,1,20,10,6,4,3,3,5
43026PHO,POR,Al-Farouq Aminu,28,5,2,1,0,1,1,4,2,2,1,0,0,12
43026PHO,POR,Moe Harkless,26,8,2,2,0,1,3,9,3,1,0,2,2,5
43026PHO,POR,Evan Turner,25,12,3,2,1,1,2,8,4,1,1,4,3,4
43026PHO,POR,Jusuf Nurkic,23,11,1,5,1,0,3,7,2,1,0,10,7,11
43026PHO,POR,Pat Connaughton,32,24,2,1,0,0,2,14,9,7,4,2,2,2
43026PHO,POR,Shabazz Napier,23,10,3,1,2,0,2,6,4,2,2,0,0,3
43026PHO,POR,Caleb Swanigan,18,8,3,2,1,0,2,7,3,1,1,1,1,4
43026PHO,POR,Ed Davis,14,10,0,1,0,1,1,7,4,0,0,2,2,7
43026PHO,POR,Jake Layman,12,3,1,0,2,0,2,4,1,2,1,0,0,0
43026PHO,POR,Meyers Leonard,11,6,0,1,0,0,1,4,2,1,0,4,2,4
43026PHO,PHO,Josh Jackson,32,11,1,0,0,0,1,10,4,2,1,4,2,2
43026PHO,PHO,Eric Bledsoe,29,15,3,5,2,1,2,18,5,6,1,4,4,4
43026PHO,PHO,T.J. Warren,28,8,0,1,0,1,1,11,3,1,0,2,2,4
43026PHO,PHO,Devin Booker,27,12,2,0,2,1,2,17,6,3,0,0,0,5
43026PHO,PHO,Tyson Chandler,23,4,0,2,1,1,4,3,1,0,0,4,2,3
43026PHO,PHO,Troy Daniels,21,6,0,1,1,0,2,4,2,4,2,0,0,1
43026PHO,PHO,Dragan Bender,21,2,0,2,1,1,1,5,0,3,0,2,2,7
43026PHO,PHO,Tyler Ulis,15,1,2,2,1,0,2,3,0,1,0,2,1,0
43026PHO,PHO,Marquese Chriss,12,2,0,2,0,1,5,5,1,1,0,0,0,1
43026PHO,PHO,Alec Peters,11,3,0,0,0,1,0,2,1,2,1,0,0,3
43026PHO,PHO,Derrick Jones,11,0,1,0,0,1,1,1,0,1,0,0,0,1
43026PHO,PHO,Mike James,11,12,1,1,1,0,1,10,5,3,2,0,0,2
43026SAC,HOU,James Harden,38,27,9,2,2,0,1,21,8,14,4,8,7,3
43026SAC,HOU,Eric Gordon,35,25,3,3,0,0,2,23,7,13,4,8,7,4
43026SAC,HOU,Trevor Ariza,32,2,2,0,0,0,1,6,0,5,0,2,2,2
43026SAC,HOU,Clint Capela,28,22,1,2,3,1,2,12,10,0,0,2,2,17
43026SAC,HOU,Ryan Anderson,26,10,0,0,0,0,1,7,2,7,2,4,4,5
43026SAC,HOU,P.J. Tucker,29,6,1,3,0,1,4,3,2,3,2,0,0,2
43026SAC,HOU,Luc Richard Mbah a Moute,24,4,0,1,0,0,0,4,1,2,0,2,2,4
43026SAC,HOU,NenÌ»,18,9,1,1,1,0,2,5,3,0,0,3,3,4
43026SAC,HOU,Demetrius Jackson,10,0,2,2,1,1,1,2,0,1,0,0,0,3
43026SAC,SAC,Skal LabissiÌ¬re,33,12,1,5,0,0,1,9,5,0,0,2,2,10
43026SAC,SAC,Buddy Hield,33,19,4,2,1,0,5,17,8,7,3,0,0,5
43026SAC,SAC,George Hill,33,16,3,4,0,0,3,11,6,2,1,4,3,3
43026SAC,SAC,Willie Cauley-Stein,32,21,1,1,0,3,1,15,10,0,0,2,1,10
43026SAC,SAC,Justin Jackson,19,5,0,0,0,0,1,5,2,2,1,0,0,2
43026SAC,SAC,Garrett Temple,30,5,3,0,4,0,2,7,1,6,1,2,2,1
43026SAC,SAC,De'Aaron Fox,24,14,5,3,0,0,2,15,7,2,0,0,0,4
43026SAC,SAC,Kosta Koufos,18,2,0,1,0,1,3,4,1,0,0,0,0,6
43026SAC,SAC,Vince Carter,14,6,2,1,0,0,1,3,2,3,2,0,0,1
43026SAC,SAC,Malachi Richardson,6,0,0,0,0,0,1,2,0,1,0,0,0,0
43027TOR,CHI,Justin Holiday,35,15,2,1,1,1,0,16,5,12,4,1,1,4
43027TOR,CHI,Lauri Markkanen,33,17,0,3,0,1,2,12,5,6,2,6,5,8
43027TOR,CHI,Robin Lopez,32,18,2,1,1,0,3,15,7,1,0,4,4,8
43027TOR,CHI,Jerian Grant,27,7,7,2,2,0,1,9,3,1,0,1,1,2
43027TOR,CHI,Paul Zipser,24,7,3,3,1,0,4,6,3,1,0,2,1,5
43027TOR,CHI,Denzel Valentine,26,12,0,1,0,0,4,10,4,7,4,0,0,2
43027TOR,CHI,Cristiano FelÌ_cio,16,4,0,3,0,0,4,2,2,0,0,0,0,2
43027TOR,CHI,Kay Felder,16,6,6,4,0,0,1,9,2,1,0,2,2,2
43027TOR,CHI,David Nwaba,13,4,1,0,0,0,0,1,1,0,0,3,2,4
43027TOR,CHI,Quincy Pondexter,12,8,0,1,2,0,3,6,4,1,0,0,0,2
43027TOR,CHI,Ryan Arcidiacono,5,0,1,0,0,0,1,2,0,2,0,0,0,0
43027TOR,CHI,Antonio Blakeney,1,3,0,0,0,0,0,1,1,1,1,0,0,0
43027TOR,TOR,DeMar DeRozan,32,11,5,5,2,1,1,9,2,0,0,8,7,6
43027TOR,TOR,Jonas Valan€çiÅÇnas,31,23,2,1,2,0,4,17,9,1,0,6,5,15
43027TOR,TOR,Kyle Lowry,31,12,9,4,1,0,1,7,4,3,1,3,3,4
43027TOR,TOR,Norman Powell,25,15,1,2,1,0,2,11,5,6,3,2,2,4
43027TOR,TOR,Serge Ibaka,24,8,0,0,0,2,2,8,3,4,2,0,0,4
43027TOR,TOR,Delon Wright,23,13,5,0,1,0,0,6,4,1,0,5,5,2
43027TOR,TOR,C.J. Miles,20,22,0,0,0,0,4,12,7,9,6,2,2,5
43027TOR,TOR,Jakob PÌ_ltl,18,2,0,3,1,0,3,2,1,0,0,0,0,5
43027TOR,TOR,OG Anunoby,17,9,2,0,0,0,1,6,3,3,1,2,2,3
43027TOR,TOR,Fred VanVleet,13,2,2,2,1,1,1,5,1,2,0,0,0,1
43027TOR,TOR,Pascal Siakam,5,0,0,0,1,0,0,0,0,0,0,0,0,0
43027TOR,TOR,Alfonzo McKinnie,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43027OKC,NY,Kristaps PorziÅ €£is,38,31,1,2,0,1,3,25,11,6,2,9,7,12
43027OKC,NY,Courtney Lee,31,9,3,2,1,0,0,9,4,2,1,0,0,2
43027OKC,NY,Tim Hardaway Jr.,29,8,1,2,0,0,5,10,3,7,2,0,0,0
43027OKC,NY,Enes Kanter,22,10,1,4,3,0,1,10,5,1,0,0,0,7
43027OKC,NY,Ramon Sessions,21,3,1,3,1,1,3,3,1,2,1,0,0,2
43027OKC,NY,Doug McDermott,24,4,4,1,0,1,0,5,2,1,0,0,0,3
43027OKC,NY,Ron Baker,23,6,4,4,3,0,1,3,1,2,1,8,3,2
